text,label
"Tension rises in South China sea, maritime warnings issued.",HIGH
Insignificant delay in processing quickly resolved without impact.,LOW
New export regulations on critical minerals announced by China.,CRITICAL
Scheduled maintenance at major terminal reduces capacity by 20%.,MEDIUM
Typhoon expected to hit Shenzhen ports within 24 hours.,HIGH
Normal operations reported across all major US east coast ports.,LOW
"Truckers protest fuel prices in France, slowing traffic.",MEDIUM
Category 3 cyclone hitting Bangladesh coastal regions.,HIGH
"Key auto parts supplier files for bankruptcy, halting assembly lines.",CRITICAL
"Data breach at logistics vendor under investigation, no operation halt yet.",MEDIUM
Truck driver shortage in the UK causing widespread delivery delays.,HIGH
New export regulations on critical minerals announced by China.,CRITICAL
Supplier in Mexico ramping up production to meet holiday demand.,LOW
Smooth customs processing reported at EU borders.,LOW
"System restored after brief cyber incident, no data lost.",LOW
No severe geopolitical events affecting supply chains today.,LOW
Air traffic control strike in Italy cancels cargo flights.,HIGH
Standard transit times maintained on trans-pacific routes.,LOW
Truck driver lack in the UK causing widespread delivery delays.,HIGH
Low water levels in the Panama Canal restricting daily transit volume.,MEDIUM
"Weather systems clear, allowing resumption of halted air freight.",LOW
Supplier in Mexico ramping up production to meet holiday demand.,LOW
"Houthi rebel attacks continue in Red Sea, premiums rise.",HIGH
"Severe cyber hack hits Maersk operations globally, paralyzing booking.",CRITICAL
Escalating conflict in the Red Sea leads to rerouting of all lines.,CRITICAL
Seasonal spike in demand straining local delivery networks.,MEDIUM
Heavy snowfall in Chicago holding up cargo flights by 12 hours.,MEDIUM
Regional port congestion in Shanghai increasing wait times by 5 days.,MEDIUM
Severe port stoppage averted at the last minute with new agreement.,LOW
Tornado damages key distribution hub in Midwest USA.,HIGH
"Suez canal blocked by grounded container ship, stalling 100+ vessels.",CRITICAL
Ice storm in Canada delaying cross-border trucking.,MEDIUM
Air traffic control strike in Italy cancels cargo flights.,HIGH
Routine software update deployed successfully across shipping network.,LOW
Ice storm in Canada delaying cross-border trucking.,MEDIUM
"Cyberattack targets major US logistics provider, causing regional slowdowns.",HIGH
Geopolitical tensions result in sudden new tariffs on tech imports.,HIGH
Typhoon expected to hit Shenzhen ports within 24 hours.,HIGH
"System restored after brief cyber incident, no data lost.",LOW
Geopolitical summit concludes with new trade agreements.,LOW
Rail workers in Canada on strike for the next 48 hours.,HIGH
"Truckers protest fuel prices in France, slowing traffic.",MEDIUM
"Border checks intensified, leading to minor delays at crossings.",MEDIUM
"Suez canal blocked by grounded container ship, delaying 100+ vessels.",CRITICAL
Large-scale port walkout averted at the last minute with new agreement.,LOW
Scheduled maintenance at severe terminal reduces capacity by 20%.,MEDIUM
Logistics providers operating at normal capacity globally.,LOW
Seasonal spike in demand straining local delivery networks.,MEDIUM
Port of Los Angeles workers threaten imminent strike over automated cranes.,CRITICAL
"Category 5 hurricane approaching Florida coast, forcing evacuations.",CRITICAL
