event_id,date,supplier_id,supplier_name,supplier_country,product_line,sku,route_id,disruption_type,root_cause,affected_units,delay_days,revenue_at_risk_usd,supplier_reliability_score,region,severity,label
E001,2023-01-05,S001,Global MicroTech,Taiwan,Semiconductors,SKU-MC01,R1,port_strike,Port workers union strike at Kaohsiung port,12000,8,960000,0.72,east-asia,HIGH,HIGH
E002,2023-01-12,S007,Shenzhen Electronics,China,Consumer Tech,SKU-CT03,R1,customs,Chinese New Year customs backlog at border,5000,4,200000,0.81,east-asia,MEDIUM,MEDIUM
E003,2023-01-19,S003,Bavarian Motors Parts,Germany,Auto Parts,SKU-AP07,R3,weather,Severe snowstorm closes Frankfurt logistics hub,2000,6,320000,0.88,europe,HIGH,HIGH
E004,2023-01-28,S001,Global MicroTech,Taiwan,Semiconductors,SKU-MC02,R1,normal,Shipment on schedule,15000,0,0,0.72,east-asia,LOW,LOW
E005,2023-02-03,S008,Hanoi Tech Assembly,Vietnam,Consumer Tech,SKU-CT01,R2,supplier,Factory fire at Hanoi assembly plant,8000,14,640000,0.65,southeast-asia,CRITICAL,CRITICAL
E006,2023-02-10,S002,Seoul Silicates,South Korea,Semiconductors,SKU-MC03,R2,logistics,Vessel delay due to Pacific storm,6000,5,480000,0.91,east-asia,MEDIUM,MEDIUM
E007,2023-02-18,S009,Texas Polymers,USA,Plastics,SKU-PL01,R8,normal,Routine delivery completed,3000,0,0,0.95,north-america,LOW,LOW
E008,2023-02-25,S007,Shenzhen Electronics,China,Consumer Tech,SKU-CT02,R1,cyber,Ransomware attack on Shenzhen supplier ERP,7500,10,600000,0.81,east-asia,CRITICAL,CRITICAL
E009,2023-03-04,S003,Bavarian Motors Parts,Germany,Auto Parts,SKU-AP02,R3,customs,New EU import tariffs causing border delays,1800,7,288000,0.88,europe,HIGH,HIGH
E010,2023-03-11,S005,Pan-Am Textiles,Mexico,Fabrics,SKU-FB01,R8,logistics,Truck driver shortage across Mexico border,2500,3,75000,0.77,latin-america,MEDIUM,MEDIUM
E011,2023-03-18,S001,Global MicroTech,Taiwan,Semiconductors,SKU-MC01,R1,war,Heightened military tensions in Taiwan strait,20000,21,1600000,0.72,east-asia,CRITICAL,CRITICAL
E012,2023-03-25,S010,Calgary Petrochem,Canada,Chemicals,SKU-CH01,R8,weather,Blizzard closes Trans-Canada highway,1200,4,96000,0.97,north-america,MEDIUM,MEDIUM
E013,2023-04-01,S006,Andes Weavers,Peru,Fabrics,SKU-FB02,R8,normal,On-time delivery,4000,0,0,0.83,latin-america,LOW,LOW
